,id,created_at,text,retweet_count,favorite_count,URL,texto
1088,762783612227977217,2016-08-08 22:52:39,RT @alternoso: En un proceso de negociación de paz que busca ante todo la reparación a las víctimas no hay impunidad. https://t.co/jOryr0tr…,2,0,"[('https://t.co/jOryr0tr…', '', 'https://t.co/jOryr0tr…', '')]",RT @alternoso: En un proceso de negociación de paz que busca ante todo la reparación a las víctimas no hay impunidad. 
923,770128776122494976,2016-08-29 05:19:43,Desde la media noche hay #CeseAlFuegoDefinitivo entre el Gobierno y las FARC. Bienvenida la paz a Colombia https://t.co/105B2n9inR,3,5,"[('https://t.co/105B2n9inR', '', 'https://t.co/105B2n9inR', '')]",Desde la media noche hay #CeseAlFuegoDefinitivo entre el Gobierno y las FARC. Bienvenida la paz a Colombia 
1093,762687565543727104,2016-08-08 16:31:00,"""Mi cuerpo es la tierra mi nombre es la paz, AMBIENTALISTAS decimos SÍ"" y no son Santistas #LaPazSíEsContigo https://t.co/sf2AC4so2y",0,2,"[('https://t.co/sf2AC4so2y', '', 'https://t.co/sf2AC4so2y', '')]","""Mi cuerpo es la tierra mi nombre es la paz, AMBIENTALISTAS decimos SÍ"" y no son Santistas #LaPazSíEsContigo "
820,773892317732233216,2016-09-08 14:34:41,Este es el tarjetón que se utilizará el próximo 2 de octubre para votar SÍ al fin de la guerra con las FARC https://t.co/hNZeC1pAJ8,9,4,"[('https://t.co/hNZeC1pAJ8', '', 'https://t.co/hNZeC1pAJ8', '')]",Este es el tarjetón que se utilizará el próximo 2 de octubre para votar SÍ al fin de la guerra con las FARC 
882,771529340697780224,2016-09-02 02:05:03,"RT @esnegrete: El punto 5 del acuerdo: Fin del Conflicto, explicado con dibujos. Vía #Cespaz y @FORJANDOPAZ https://t.co/iEVmwt9iIU",1,0,"[('https://t.co/iEVmwt9iIU', '', 'https://t.co/iEVmwt9iIU', '')]","RT @esnegrete: El punto 5 del acuerdo: Fin del Conflicto, explicado con dibujos. Vía #Cespaz y @FORJANDOPAZ "
807,774267010557612032,2016-09-09 15:23:35,"Sonríe Colombia que algo bueno está pasando, llegó la alegría y la fiesta a la Campaña del SÍ #LaPazSiEsContigo https://t.co/NY23GxA9li",3,5,"[('https://t.co/NY23GxA9li', '', 'https://t.co/NY23GxA9li', '')]","Sonríe Colombia que algo bueno está pasando, llegó la alegría y la fiesta a la Campaña del SÍ #LaPazSiEsContigo "
1013,766282864128393216,2016-08-18 14:37:26,¿Sabes por qué el chicharrón de la tierra en Colombia es un punto de negociación en La Habana? Mira esta cartilla ⏩ https://t.co/o6GY6l6MXk,2,0,"[('https://t.co/o6GY6l6MXk', '', 'https://t.co/o6GY6l6MXk', '')]",¿Sabes por qué el chicharrón de la tierra en Colombia es un punto de negociación en La Habana? Mira esta cartilla ⏩ 
997,767713193590423552,2016-08-22 13:21:03,En esta #PAZografía te explicamos como funciona la mesa de conversaciones de La Habana que busca la Paz https://t.co/Yj4spFEoc0,13,7,"[('https://t.co/Yj4spFEoc0', '', 'https://t.co/Yj4spFEoc0', '')]",En esta #PAZografía te explicamos como funciona la mesa de conversaciones de La Habana que busca la Paz 
1084,763012060640935941,2016-08-09 14:00:25,En familia le decimos SÍ a la paz. Para que nuestros hijos no tengan que ir a la guerra #VotaSÍaLaPaz https://t.co/GIcP9dxRpz,1,3,"[('https://t.co/GIcP9dxRpz', '', 'https://t.co/GIcP9dxRpz', '')]",En familia le decimos SÍ a la paz. Para que nuestros hijos no tengan que ir a la guerra #VotaSÍaLaPaz 
837,773259949745012736,2016-09-06 20:41:53,Así funcionó la mesa que esta por terminar con la guerra en Colombia #SÍGanaColombia https://t.co/Yj4spFEoc0,0,0,"[('https://t.co/Yj4spFEoc0', '', 'https://t.co/Yj4spFEoc0', '')]",Así funcionó la mesa que esta por terminar con la guerra en Colombia #SÍGanaColombia 
