,id,created_at,text,retweet_count,favorite_count,URL,texto
1504,740231473639362560,2016-06-07 17:18:30,RT @DanielSamperO: ¿Qué grado de mezquindad se necesita tener en el alma para recoger firmas contra un proceso de paz?,1376,0,[],RT @DanielSamperO: ¿Qué grado de mezquindad se necesita tener en el alma para recoger firmas contra un proceso de paz?
1432,745955116856020993,2016-06-23 12:22:13,"RT @piedadcordoba: Junto con el nacimientos de mis hijos y nietos, hoy es uno de los días más felices de mi vida. Mi país avanza hacia la p…",214,0,[],"RT @piedadcordoba: Junto con el nacimientos de mis hijos y nietos, hoy es uno de los días más felices de mi vida. Mi país avanza hacia la p…"
1431,745955138519564288,2016-06-23 12:22:18,RT @AidaAvellaE: Con alegría recibimos la terminación de la guerra. Vamos hacia la paz con justicia social! #SeAcaboLaGuerra,98,0,[],RT @AidaAvellaE: Con alegría recibimos la terminación de la guerra. Vamos hacia la paz con justicia social! #SeAcaboLaGuerra
1204,757388726213439488,2016-07-25 01:35:18,¿Ya sabes que han acordado el Gobierno y las Farc en el punto de participación politica?  Entérate en este video https://t.co/tiFVy0b9s2,88,56,"[('https://t.co/tiFVy0b9s2', '', 'https://t.co/tiFVy0b9s2', '')]",¿Ya sabes que han acordado el Gobierno y las Farc en el punto de participación politica?  Entérate en este video 
1442,745629785183895553,2016-06-22 14:49:28,"#ElÚltimoDíaDeLaGuerra Sonrie Colombia, algo bueno esta pasando. ¡Estamos #ForjandoPaz! https://t.co/B67t61fHpA https://t.co/StNGzPMw9b",70,39,"[('https://t.co/B67t61fHpA', '', 'https://t.co/B67t61fHpA', ''), ('https://t.co/StNGzPMw9b', '', 'https://t.co/StNGzPMw9b', '')]","#ElÚltimoDíaDeLaGuerra Sonrie Colombia, algo bueno esta pasando. ¡Estamos #ForjandoPaz!  "
1401,747177480784580609,2016-06-26 21:19:27,#ForjandoPAZ ¿Qué se acordó en La Habana? Acá el punto 1: Desarrollo Agrario integral. https://t.co/E1iXEgU36W https://t.co/50ZqPMzdOb,63,31,"[('https://t.co/E1iXEgU36W', '', 'https://t.co/E1iXEgU36W', ''), ('https://t.co/50ZqPMzdOb', '', 'https://t.co/50ZqPMzdOb', '')]",#ForjandoPAZ ¿Qué se acordó en La Habana? Acá el punto 1: Desarrollo Agrario integral.  
1231,755235117493317632,2016-07-19 02:57:38,RT @OpinaAqui: ¿Cómo votará el #Plebiscito por la Paz?,55,0,[],RT @OpinaAqui: ¿Cómo votará el #Plebiscito por la Paz?
1516,734150841284825088,2016-05-21 22:36:15,RT @CLOPEZanalista: Por todo el país las ciudadanías y sus organizaciones haciendo pedagogía por La Paz #LaPazEsImparable  https://t.co/Ww5…,34,0,"[('https://t.co/Ww5…', '', 'https://t.co/Ww5…', '')]",RT @CLOPEZanalista: Por todo el país las ciudadanías y sus organizaciones haciendo pedagogía por La Paz #LaPazEsImparable  
1446,745442704750940160,2016-06-22 02:26:05,"RT @HumanasColombia: En Colombia, 63 mujeres mueren al mes por la violencia basada en género. https://t.co/a354BPPWvw #CorteSupremaEscúchen…",29,0,"[('https://t.co/a354BPPWvw', '', 'https://t.co/a354BPPWvw', '')]","RT @HumanasColombia: En Colombia, 63 mujeres mueren al mes por la violencia basada en género.  #CorteSupremaEscúchen…"
1388,747434994847612928,2016-06-27 14:22:44,RT @elespectador: “Amenaza a la paz la representan sectores que se han lucrado de la guerra”:Timoleón Jiménez https://t.co/EJCS9pJO62 https…,28,0,"[('https://t.co/EJCS9pJO62', '', 'https://t.co/EJCS9pJO62', '')]",RT @elespectador: “Amenaza a la paz la representan sectores que se han lucrado de la guerra”:Timoleón Jiménez  
