,id,created_at,text,retweet_count,favorite_count,URL,texto
1625,718449216268451840,2016-04-08 14:43:35,Víctimas #Antioquia en sesión @AsambleAntioqui piden ser incluídas en PlanesDeDesarrollo @GobAntioquia #SomosPaz https://t.co/Ig7hL9hpep,4,4,"[('https://t.co/Ig7hL9hpep', '', 'https://t.co/Ig7hL9hpep', '')]",Víctimas #Antioquia en sesión @AsambleAntioqui piden ser incluídas en PlanesDeDesarrollo @GobAntioquia #SomosPaz 
1743,710601375831498752,2016-03-17 22:59:04,"""Si se firma el acuerdo final la población colombiana podrá responder por un sí, a una salida negociada. @dw_espanol https://t.co/jPuJZI7Tms",2,3,"[('https://t.co/jPuJZI7Tms', '', 'https://t.co/jPuJZI7Tms', '')]","""Si se firma el acuerdo final la población colombiana podrá responder por un sí, a una salida negociada. @dw_espanol "
1595,719894594112999425,2016-04-12 14:27:00,Ojalá desmovilziados lleguen a ciudades aportando ideas para concretarse el posacuerdo @FedericoHoyos #LaPazPosible https://t.co/9TPEHYbCrY,3,2,"[('https://t.co/9TPEHYbCrY', '', 'https://t.co/9TPEHYbCrY', '')]",Ojalá desmovilziados lleguen a ciudades aportando ideas para concretarse el posacuerdo @FedericoHoyos #LaPazPosible 
1691,714245602679382016,2016-03-28 00:19:56,"#Opiniones ciudadanas: ""Ojalá el posconflicto signifique para Antioquia más seguridad, democracia, justicia social y desarrollo rural""",0,1,[],"#Opiniones ciudadanas: ""Ojalá el posconflicto signifique para Antioquia más seguridad, democracia, justicia social y desarrollo rural"""
1602,719882383714082816,2016-04-12 13:38:29,RT @CasadelaMemoria: 1de2 ¿Sabías que la Convocatoria Imaginarios de vida en paz se lanzó en convenio con los estímulos para el arte y la c…,1,0,[],RT @CasadelaMemoria: 1de2 ¿Sabías que la Convocatoria Imaginarios de vida en paz se lanzó en convenio con los estímulos para el arte y la c…
1847,703013935054766080,2016-02-26 00:29:18,En 24 instituciones educativas del municipio de #Itagüí se desarrolló jornada #LaPazEsUnaNota se habla d Paz #SoyPaz https://t.co/6xPSDdG4Rs,3,4,"[('https://t.co/6xPSDdG4Rs', '', 'https://t.co/6xPSDdG4Rs', '')]",En 24 instituciones educativas del municipio de #Itagüí se desarrolló jornada #LaPazEsUnaNota se habla d Paz #SoyPaz 
1790,707955964297793536,2016-03-10 15:47:09,La paz para nosotros es superacion de problemas generados por la exclusión y la pobreza. Colombia tiene recursos para ello @JSantrich_FARC,1,1,[],La paz para nosotros es superacion de problemas generados por la exclusión y la pobreza. Colombia tiene recursos para ello @JSantrich_FARC
1692,714243055025537024,2016-03-28 00:09:48,"Alias ""Simón Trinidad"" quien paga condena en EEUU sería liberado luego de desmovilización y desarme de las FARC. Vía @Teleantioquia",5,2,[],"Alias ""Simón Trinidad"" quien paga condena en EEUU sería liberado luego de desmovilización y desarme de las FARC. Vía @Teleantioquia"
1566,721087619594121216,2016-04-15 21:27:40,"#NoMásViolencia las veces que sea necesario, todas las voces #NoMásViolencia #SomosPaz https://t.co/bdtIBibyKX",0,1,"[('https://t.co/bdtIBibyKX', '', 'https://t.co/bdtIBibyKX', '')]","#NoMásViolencia las veces que sea necesario, todas las voces #NoMásViolencia #SomosPaz "
1795,707949609944031233,2016-03-10 15:21:54,Asesor de DD.HH @infopresidencia asegura q en Medellín harán piloto para evitar q los jóvenes ingresen al conflicto https://t.co/KpZIzWetIJ,0,0,"[('https://t.co/KpZIzWetIJ', '', 'https://t.co/KpZIzWetIJ', '')]",Asesor de DD.HH @infopresidencia asegura q en Medellín harán piloto para evitar q los jóvenes ingresen al conflicto 
1845,703298229060935680,2016-02-26 19:18:59,"Pese a la sangre derramada, incluso la de su hijo, Mario Agudelo cree que desmovilización del EPL valió la pena. https://t.co/fgjd5OOrwE",6,8,"[('https://t.co/fgjd5OOrwE', '', 'https://t.co/fgjd5OOrwE', '')]","Pese a la sangre derramada, incluso la de su hijo, Mario Agudelo cree que desmovilización del EPL valió la pena. "
1664,715592644919951360,2016-03-31 17:32:36,"RT @herrerak11: En #Frontino, Occidente Ant también hay paro armado. Cierre de comercio, sin transporte, clases a medias. Hay miedo https:/…",1,0,[],"RT @herrerak11: En #Frontino, Occidente Ant también hay paro armado. Cierre de comercio, sin transporte, clases a medias. Hay miedo "
1742,710665800336723968,2016-03-18 03:15:04,"""Yo creo que lo más difícil es imaginar una sociedad sin la guerra"" @DianaUribeHisto @SenalColombia @MitosSobreLaPaz https://t.co/WV7EgSyhdp",3,3,"[('https://t.co/WV7EgSyhdp', '', 'https://t.co/WV7EgSyhdp', '')]","""Yo creo que lo más difícil es imaginar una sociedad sin la guerra"" @DianaUribeHisto @SenalColombia @MitosSobreLaPaz "
1683,715215660842950657,2016-03-30 16:34:36,Serán 6 ciclos de negociaciones  entre @eln_paz @EquipoPazGob #PazCompleta #SomosPaz,1,1,[],Serán 6 ciclos de negociaciones  entre @eln_paz @EquipoPazGob #PazCompleta #SomosPaz
1870,702141799465361409,2016-02-23 14:43:44,Según @CERAC continúa el desescalamiento del conflicto entre Farc y Gobierno. #SoyPazColombia https://t.co/cxHMqK2XMg,2,3,"[('https://t.co/cxHMqK2XMg', '', 'https://t.co/cxHMqK2XMg', '')]",Según @CERAC continúa el desescalamiento del conflicto entre Farc y Gobierno. #SoyPazColombia 
1782,707970059998797824,2016-03-10 16:43:10,RT @Nana_Arboleda: Continuamos en el Foro #AntioquialehablaalaHabana con la participación del público https://t.co/oorQqz8DUg,7,0,"[('https://t.co/oorQqz8DUg', '', 'https://t.co/oorQqz8DUg', '')]",RT @Nana_Arboleda: Continuamos en el Foro #AntioquialehablaalaHabana con la participación del público 
1792,707950674194112513,2016-03-10 15:26:08,"""Es un error del ELN no ingresar a las negociaciones de paz. Ellos tienen una gran oportunidad para lograr más que las Farc"" @LeonVaLenciaA",1,0,[],"""Es un error del ELN no ingresar a las negociaciones de paz. Ellos tienen una gran oportunidad para lograr más que las Farc"" @LeonVaLenciaA"
1747,710286090607988737,2016-03-17 02:06:15,#QuePareHastaLaGuerra #SomosPaz https://t.co/jDQKX8DlAk,0,2,"[('https://t.co/jDQKX8DlAk', '', 'https://t.co/jDQKX8DlAk', '')]",#QuePareHastaLaGuerra #SomosPaz 
1727,712037320078303233,2016-03-21 22:05:00,"""EEUU ayudará a garantizar seguridad de guerrilleros que dejen las armas"" #SomosPaz @EquipoPazGob @@ComisionadoPaz @FARC_EPaz",1,1,[],"""EEUU ayudará a garantizar seguridad de guerrilleros que dejen las armas"" #SomosPaz @EquipoPazGob @@ComisionadoPaz @FARC_EPaz"
1710,712797671141031936,2016-03-24 00:26:22,Las delegaciones no se quedarán eternamente en La Habana y estamos negociando el mejor acuerdo para los colombianos: Humberto de la Calle,2,2,[],Las delegaciones no se quedarán eternamente en La Habana y estamos negociando el mejor acuerdo para los colombianos: Humberto de la Calle
1653,716004053944246273,2016-04-01 20:47:23,Para usted en la marcha del 2 de abril está claro que:,0,0,[],Para usted en la marcha del 2 de abril está claro que:
1697,713024638381604864,2016-03-24 15:28:15,"RT @comunicacionocp: Cambiemos el mundo de la guerra por arte, cultura, deporte y acciones cotidianas de armonía social. https://t.co/54eN8…",2,0,"[('https://t.co/54eN8…', '', 'https://t.co/54eN8…', '')]","RT @comunicacionocp: Cambiemos el mundo de la guerra por arte, cultura, deporte y acciones cotidianas de armonía social. "
1772,708132451059683328,2016-03-11 03:28:27,RT @jmavella: @estrategiadepaz @piedadcordoba @FARC_EPaz @LeonVaLenciaA @EquipoPazGob lo que no entiendo es porque el ELN no se acoge al pr…,1,0,[],RT @jmavella: @estrategiadepaz @piedadcordoba @FARC_EPaz @LeonVaLenciaA @EquipoPazGob lo que no entiendo es porque el ELN no se acoge al pr…
1858,702703904425959424,2016-02-25 03:57:21,RT @elespectador: Mañana gran debate sobre la lucha contra las BACRIM en el posconflicto.  https://t.co/YlyEhynl65 https://t.co/ofiwkA2saG,13,0,"[('https://t.co/YlyEhynl65', '', 'https://t.co/YlyEhynl65', ''), ('https://t.co/ofiwkA2saG', '', 'https://t.co/ofiwkA2saG', '')]",RT @elespectador: Mañana gran debate sobre la lucha contra las BACRIM en el posconflicto.   
1781,707971129588248578,2016-03-10 16:47:25,RT @fulcanelli82: @estrategiadepaz @LeonVaLenciaA @forjandofuturos  La paz debe ser un cambio de 180 grados en el pensamiento de los colomb…,3,0,[],RT @fulcanelli82: @estrategiadepaz @LeonVaLenciaA @forjandofuturos  La paz debe ser un cambio de 180 grados en el pensamiento de los colomb…
1680,715218375295807488,2016-03-30 16:45:23,"RT @gaboperiodista1: Ecuador, Cuba, Chile y Brasil serán países garantes del proceso con el ELN @Teleantioquia @estrategiadepaz",2,0,[],"RT @gaboperiodista1: Ecuador, Cuba, Chile y Brasil serán países garantes del proceso con el ELN @Teleantioquia @estrategiadepaz"
1585,719904350009761794,2016-04-12 15:05:46,"""La Paz no se construye solo en La Habana, se construye desde los territorios"" @FicoGutierrez foro @elespectador #LaPazPosible @EAFIT",5,5,[],"""La Paz no se construye solo en La Habana, se construye desde los territorios"" @FicoGutierrez foro @elespectador #LaPazPosible @EAFIT"
1720,712624218991640576,2016-03-23 12:57:08,"Si el paramilitarismo no se desmoviliza, acuerdo de paz no es garantía de nada: @piedadcordoba Qué piensas?#SomosPaz https://t.co/SsWzUnBUHn",30,17,"[('https://t.co/SsWzUnBUHn', '', 'https://t.co/SsWzUnBUHn', '')]","Si el paramilitarismo no se desmoviliza, acuerdo de paz no es garantía de nada: @piedadcordoba Qué piensas?#SomosPaz "
1836,704074551043432448,2016-02-28 22:43:48,RT @herrerak11: Hoy en #TANoticias hablamos de reintegración. Mesías es uno de los ejemplos de los 57 excombatientes en Colombia. https://t…,6,0,"[('https://t…', '', 'https://t…', '')]",RT @herrerak11: Hoy en #TANoticias hablamos de reintegración. Mesías es uno de los ejemplos de los 57 excombatientes en Colombia. 
1603,719882335504699392,2016-04-12 13:38:18,RT @reintegracion: La reintegración: garantía de no repetición y de contribución a la paz https://t.co/GygiVGE7J6 https://t.co/d0gHN4oSXM,6,0,"[('https://t.co/GygiVGE7J6', '', 'https://t.co/GygiVGE7J6', ''), ('https://t.co/d0gHN4oSXM', '', 'https://t.co/d0gHN4oSXM', '')]",RT @reintegracion: La reintegración: garantía de no repetición y de contribución a la paz  
1677,715218909251649540,2016-03-30 16:47:30,"""La sociedad requiere información, por lo que se harán declaraciones conjuntas al final de cada ciclo"" AntonioGarcía @EquipoPazGob @eln_paz",0,1,[],"""La sociedad requiere información, por lo que se harán declaraciones conjuntas al final de cada ciclo"" AntonioGarcía @EquipoPazGob @eln_paz"
1634,717361067110887424,2016-04-05 14:39:40,Estos hechos incrementaron la desaparición forzada en la Comuna 13.  https://t.co/y8bNDkVIqR,0,1,"[('https://t.co/y8bNDkVIqR', '', 'https://t.co/y8bNDkVIqR', '')]",Estos hechos incrementaron la desaparición forzada en la Comuna 13.  
1541,725529246832140289,2016-04-28 03:37:06,"La Paz se construye desde cualquier rol, no es responsabilidad únicamente del Estado. #SomosPaz",1,1,[],"La Paz se construye desde cualquier rol, no es responsabilidad únicamente del Estado. #SomosPaz"
1777,707971225843331072,2016-03-10 16:47:48,RT @OntaPaputa: @fulcanelli82 @LeonVaLenciaA @estrategiadepaz @forjandofuturos Mamertos; sin atacar las causas las resultados van a ser los…,2,0,[],RT @OntaPaputa: @fulcanelli82 @LeonVaLenciaA @estrategiadepaz @forjandofuturos Mamertos; sin atacar las causas las resultados van a ser los…
1796,707947034872029184,2016-03-10 15:11:40,Guerra genera sentimientos como el odio y a humanos nosgusta más agredir que concertar. Esa es la mayor dificultad https://t.co/aFUNMar8Rb,5,2,"[('https://t.co/aFUNMar8Rb', '', 'https://t.co/aFUNMar8Rb', '')]",Guerra genera sentimientos como el odio y a humanos nosgusta más agredir que concertar. Esa es la mayor dificultad 
1868,702160620200837120,2016-02-23 15:58:32,Esta herramienta permite conocer en qué consiste el Proceso de Paz y sus avances. #ComunicarParaLaPaz  https://t.co/irwEhNWfih,2,1,"[('https://t.co/irwEhNWfih', '', 'https://t.co/irwEhNWfih', '')]",Esta herramienta permite conocer en qué consiste el Proceso de Paz y sus avances. #ComunicarParaLaPaz  
1784,707966592919937024,2016-03-10 16:29:23,Los medios masivos de comunicación en Colombia no enseñan para la liberación sino para la opresión @piedadcordoba https://t.co/TbFTyXkmDU,1,0,"[('https://t.co/TbFTyXkmDU', '', 'https://t.co/TbFTyXkmDU', '')]",Los medios masivos de comunicación en Colombia no enseñan para la liberación sino para la opresión @piedadcordoba 
1728,712032414697168898,2016-03-21 21:45:31,"RT @AngeCahucopana: porque los niños lleguen a  viejos, y los viejos se vuelvan niños .#VamosPorLaPaz https://t.co/YLv9B4MnoD",1,0,"[('https://t.co/YLv9B4MnoD', '', 'https://t.co/YLv9B4MnoD', '')]","RT @AngeCahucopana: porque los niños lleguen a  viejos, y los viejos se vuelvan niños .#VamosPorLaPaz "
1733,711596746342846464,2016-03-20 16:54:19,RT @alejocalleCS: Hay gente convencida de verdad  https://t.co/9oZ5n1hZRj,2,0,"[('https://t.co/9oZ5n1hZRj', '', 'https://t.co/9oZ5n1hZRj', '')]",RT @alejocalleCS: Hay gente convencida de verdad  
1856,702853147086217216,2016-02-25 13:50:23,"""Yo no veo que en estos momentos se pueda hablar de desmovilización de Bacrim"" Vicefiscal Perdomo #Debate @LeonVaLenciaA @PReconciliacion",3,3,[],"""Yo no veo que en estos momentos se pueda hablar de desmovilización de Bacrim"" Vicefiscal Perdomo #Debate @LeonVaLenciaA @PReconciliacion"
1729,712032055035564033,2016-03-21 21:44:05,"Para dejar atrás la barbarie de tantos años, sanar el dolor de tantas víctimas y construir juntos el país que merecemos. #VamosPorLaPaz",1,2,[],"Para dejar atrás la barbarie de tantos años, sanar el dolor de tantas víctimas y construir juntos el país que merecemos. #VamosPorLaPaz"
1651,716069384599506944,2016-04-02 01:06:59,RT @CERAC: La negociación está mostrando resultados.Los informes del @CERAC sobre el conflicto señalan: https://t.co/uNkz6voUti https://t.c…,27,0,"[('https://t.co/uNkz6voUti', '', 'https://t.co/uNkz6voUti', ''), ('https://t.c…', '', 'https://t.c…', '')]",RT @CERAC: La negociación está mostrando resultados.Los informes del @CERAC sobre el conflicto señalan:  
1674,715220956843753472,2016-03-30 16:55:38,Las negociaciones entre @EquipoPazGob @eln_paz se dan en un momento:,1,0,[],Las negociaciones entre @EquipoPazGob @eln_paz se dan en un momento:
1670,715231038910423045,2016-03-30 17:35:42,"""Con el @eln_paz se busca promover procesos de participación en las regiones"" @JuanManSantos sobre diálogos públicos con esa guerrilla",1,2,[],"""Con el @eln_paz se busca promover procesos de participación en las regiones"" @JuanManSantos sobre diálogos públicos con esa guerrilla"
1854,702857616444297216,2016-02-25 14:08:08,Por falta de quórum en el Congreso se frustra primer debate que modifica Ley de Orden Público q incluye zonas de concentración FARC. #SoyPaz,2,1,[],Por falta de quórum en el Congreso se frustra primer debate que modifica Ley de Orden Público q incluye zonas de concentración FARC. #SoyPaz
1675,715219417391579136,2016-03-30 16:49:31,RT @gaboperiodista1: La participación de la sociedad hará parte de la pedagogía para la paz con el proceso con ELN @Teleantioquia @estrateg…,1,0,[],RT @gaboperiodista1: La participación de la sociedad hará parte de la pedagogía para la paz con el proceso con ELN @Teleantioquia @estrateg…
1586,719904252362166273,2016-04-12 15:05:23,Nos preocupa la seguridad de Medellín porque ya sufrimos por cuenta de malos procesos de desmovilización: @FicoGutierrez #LaPazPosible,1,0,[],Nos preocupa la seguridad de Medellín porque ya sufrimos por cuenta de malos procesos de desmovilización: @FicoGutierrez #LaPazPosible
1619,718830366166028288,2016-04-09 15:58:09,Cortesía @sergiopoesia Decenas de Asociaciones de víctimas de las FARC de 18 dptos reunidas en el Capitolio nacional https://t.co/NHlXGEn9xq,2,3,"[('https://t.co/NHlXGEn9xq', '', 'https://t.co/NHlXGEn9xq', '')]",Cortesía @sergiopoesia Decenas de Asociaciones de víctimas de las FARC de 18 dptos reunidas en el Capitolio nacional 
1668,715232326620483590,2016-03-30 17:40:49,"""Los procesos con @FARC_EPaz y @eln_paz son distintos, pero el fin del conflicto es uno solo"" @JuanManSantos #PazCompleta #SomosPaz",0,2,[],"""Los procesos con @FARC_EPaz y @eln_paz son distintos, pero el fin del conflicto es uno solo"" @JuanManSantos #PazCompleta #SomosPaz"
1723,712068895130124288,2016-03-22 00:10:28,"El Vicepresidente de EEUU también se comprometió a apoyar financieramente desminado humanitario en todo el país, junto a Noriega #SomosPaz",2,1,[],"El Vicepresidente de EEUU también se comprometió a apoyar financieramente desminado humanitario en todo el país, junto a Noriega #SomosPaz"
1622,718689416705884160,2016-04-09 06:38:04,#9DeAbrilPorLaPaz para recordar a nuestros muertos y exorcizar el dolor. Para unir las voces y exigir que no se repita. #SomosPaz,10,2,[],#9DeAbrilPorLaPaz para recordar a nuestros muertos y exorcizar el dolor. Para unir las voces y exigir que no se repita. #SomosPaz
1637,717353037283639296,2016-04-05 14:07:46,"""Colombia tiene un 95 por ciento de impunidad en violencia contra defensores de Derechos Humanos"". Audiencia Situación DDHH #SomosPaz",2,1,[],"""Colombia tiene un 95 por ciento de impunidad en violencia contra defensores de Derechos Humanos"". Audiencia Situación DDHH #SomosPaz"
1593,719901277245808641,2016-04-12 14:53:34,"""El posconflicto hay que resolverlo por las vías no violentas, y se gana o se pierde"" #LaPazPosible #SomosPaz @elespectador",3,2,[],"""El posconflicto hay que resolverlo por las vías no violentas, y se gana o se pierde"" #LaPazPosible #SomosPaz @elespectador"
1591,719903126443180033,2016-04-12 15:00:55,"""Ojalá realmente no sólo dejen las armas sino que las destruyan"" @FicoGutierrez #LaPazPosible https://t.co/lDTEoiAGdr",2,2,"[('https://t.co/lDTEoiAGdr', '', 'https://t.co/lDTEoiAGdr', '')]","""Ojalá realmente no sólo dejen las armas sino que las destruyan"" @FicoGutierrez #LaPazPosible "
1724,712068524248850434,2016-03-22 00:09:00,"""Estados Unidos se comprometió con seguridad de las personas que dejen las armas"", dijo De la Calle, tras reunión con @JohnKerry  #SomosPaz",1,1,[],"""Estados Unidos se comprometió con seguridad de las personas que dejen las armas"", dijo De la Calle, tras reunión con @JohnKerry  #SomosPaz"
1600,719890867516006402,2016-04-12 14:12:12,"Hasta hoy se han desmovilizado 49 mil personas, 40% fueron reclutadas incluso a los 12 años @JMitrotti #LaPazPosible https://t.co/eUvQ82JWbu",17,9,"[('https://t.co/eUvQ82JWbu', '', 'https://t.co/eUvQ82JWbu', '')]","Hasta hoy se han desmovilizado 49 mil personas, 40% fueron reclutadas incluso a los 12 años @JMitrotti #LaPazPosible "
1648,716304736786497541,2016-04-02 16:42:12,Una hermosa inicitiva de ponerse en la piel del otro https://t.co/GangTmBIRF,0,2,"[('https://t.co/GangTmBIRF', '', 'https://t.co/GangTmBIRF', '')]",Una hermosa inicitiva de ponerse en la piel del otro 
1826,704797180268306433,2016-03-01 22:35:16,"Entonces, hay esperanza. En el campo se siembra futuro, sueños... #SoyPazColombia   https://t.co/rPnRn5MkM2",0,1,"[('https://t.co/rPnRn5MkM2', '', 'https://t.co/rPnRn5MkM2', '')]","Entonces, hay esperanza. En el campo se siembra futuro, sueños... #SoyPazColombia   "
1787,707962277027131392,2016-03-10 16:12:14,"""La paz es un camino incierto q todos debemos recorrer juntos, tomados de las manos , concertando rutas”. Cobra vigencia GUILLERMO GAVIRIA",0,1,[],"""La paz es un camino incierto q todos debemos recorrer juntos, tomados de las manos , concertando rutas”. Cobra vigencia GUILLERMO GAVIRIA"
1769,708326943972786177,2016-03-11 16:21:18,José Martín Ceballos y su #EstrategiaDePaz https://t.co/QTIiNliAqs,4,2,"[('https://t.co/QTIiNliAqs', '', 'https://t.co/QTIiNliAqs', '')]",José Martín Ceballos y su #EstrategiaDePaz 
1559,722148803143446528,2016-04-18 19:44:26,"""Los medios nacionales de comunicación han tomado partido del proceso de paz"" @eliusuga @Telemedellin https://t.co/kwyDjWvACm",1,2,"[('https://t.co/kwyDjWvACm', '', 'https://t.co/kwyDjWvACm', '')]","""Los medios nacionales de comunicación han tomado partido del proceso de paz"" @eliusuga @Telemedellin "
1757,709366499954315264,2016-03-14 13:12:07,"""Es cierto que la mesa atraviesa por un punto difícil y se frenó un poco la discusión por cese al fuego bilateral y definitivo"". FARC",0,1,[],"""Es cierto que la mesa atraviesa por un punto difícil y se frenó un poco la discusión por cese al fuego bilateral y definitivo"". FARC"
1641,717055749378146305,2016-04-04 18:26:27,RT @CICR_co: Conmemoramos el Día Contra Minas con este testimonio lleno de lucidez https://t.co/HSHQ3B7vB4 #UnidosContraLasMinas https://t.…,23,0,"[('https://t.co/HSHQ3B7vB4', '', 'https://t.co/HSHQ3B7vB4', ''), ('https://t.…', '', 'https://t.…', '')]",RT @CICR_co: Conmemoramos el Día Contra Minas con este testimonio lleno de lucidez  #UnidosContraLasMinas 
1564,721127603004903428,2016-04-16 00:06:33,"El 21 de abril regresan delegaciones de @EquipoPazGob y @FARC_EPaz a La Habana, expectativa por acuerdo sobre #CeseBilateral. #SomosPaz",0,0,[],"El 21 de abril regresan delegaciones de @EquipoPazGob y @FARC_EPaz a La Habana, expectativa por acuerdo sobre #CeseBilateral. #SomosPaz"
1750,710125860804825088,2016-03-16 15:29:33,"""Espacios para que las víctimas sean reconocidas y puedan dar sus testimonios"". #NoRepetición @ComisionadoPaz  https://t.co/Y4CUNJxR9g",1,2,"[('https://t.co/Y4CUNJxR9g', '', 'https://t.co/Y4CUNJxR9g', '')]","""Espacios para que las víctimas sean reconocidas y puedan dar sus testimonios"". #NoRepetición @ComisionadoPaz  "
1711,712773268390944768,2016-03-23 22:49:24,"¿El 23 de marzo fue una fecha que se dio para firmar el acuerdo, producto de la presión de la opinión pública?",1,0,[],"¿El 23 de marzo fue una fecha que se dio para firmar el acuerdo, producto de la presión de la opinión pública?"
1767,708361450729971712,2016-03-11 18:38:25,"Así es #BastaYa, memorias de guerra y dignidad.  https://t.co/gTz00My7Ca",0,0,"[('https://t.co/gTz00My7Ca', '', 'https://t.co/gTz00My7Ca', '')]","Así es #BastaYa, memorias de guerra y dignidad.  "
1835,704114000066387968,2016-02-29 01:20:34,¿Qué es Estrategias de Paz? Muy pronto lo sabrás. #SoyPazColombia https://t.co/4sPYEnKvUO,1,1,"[('https://t.co/4sPYEnKvUO', '', 'https://t.co/4sPYEnKvUO', '')]",¿Qué es Estrategias de Paz? Muy pronto lo sabrás. #SoyPazColombia 
1839,703436015004991488,2016-02-27 04:26:29,"RT @URestitucion: ""En Antioquia se atendieron 2.000 casos en 2015. La  meta para 2016 serán 3.000 nuevos casos"", Dir. @RicardoSabogalU http…",15,0,[],"RT @URestitucion: ""En Antioquia se atendieron 2.000 casos en 2015. La  meta para 2016 serán 3.000 nuevos casos"", Dir. @RicardoSabogalU "
